geoid,tract_code,city,city_code
6073020207,202.07,Escondido,ES
6073020211,202.11,Escondido,ES
6073020209,202.09,Escondido,ES
6073020206,202.06,Escondido,ES
6073020210,202.1,Escondido,ES
6073020208,202.08,Escondido,ES
6073020103,201.03,Escondido,ES
6073020708,207.08,Escondido,ES
6073020403,204.03,Escondido,ES
6073020404,204.04,Escondido,ES
6073020707,207.07,Escondido,ES
6073020500,205,Escondido,ES
6073020601,206.01,Escondido,ES
6073020602,206.02,Escondido,ES
6073020214,202.14,Escondido,ES
6073020213,202.13,Escondido,ES
6073020202,202.02,Escondido,ES
6073020108,201.08,Escondido,ES
6073020308,203.08,Escondido,ES
6073020109,201.09,Escondido,ES
6073020305,203.05,Escondido,ES
6073020107,201.07,Escondido,ES
6073020105,201.05,Escondido,ES
6073020304,203.04,Escondido,ES
6073017049,170.49,Poway,PW
6073017048,170.48,Poway,PW
6073017010,170.1,Poway,PW
6073017041,170.41,Poway,PW
6073017009,170.09,Poway,PW
6073017040,170.4,Poway,PW
6073017054,170.54,Poway,PW
6073017053,170.53,Poway,PW
6073017021,170.21,Poway,PW
6073017006,170.06,Poway,PW
6073017020,170.2,Poway,PW
6073017050,170.5,Poway,PW
6073017109,171.09,Carlsbad,CB
6073020016,200.16,Carlsbad,CB
6073020015,200.15,Carlsbad,CB
6073020014,200.14,Carlsbad,CB
6073017808,178.08,Carlsbad,CB
6073017813,178.13,Carlsbad,CB
6073017811,178.11,Carlsbad,CB
6073020013,200.13,Carlsbad,CB
6073022100,221,Carlsbad,CB
6073017810,178.1,Carlsbad,CB
6073018000,180,Carlsbad,CB
6073017809,178.09,Carlsbad,CB
6073019806,198.06,Carlsbad,CB
6073017900,179,Carlsbad,CB
6073019804,198.04,Carlsbad,CB
6073017801,178.01,Carlsbad,CB
6073019803,198.03,Carlsbad,CB
6073013308,133.08,Chula Vista,CV
6073013204,132.04,Chula Vista,CV
6073013307,133.07,Chula Vista,CV
6073013312,133.12,Chula Vista,CV
6073013313,133.13,Chula Vista,CV
6073013306,133.06,Chula Vista,CV
6073013203,132.03,Chula Vista,CV
6073013303,133.03,Chula Vista,CV
6073013314,133.14,Chula Vista,CV
6073013302,133.02,Chula Vista,CV
6073013102,131.02,Chula Vista,CV
6073013309,133.09,Chula Vista,CV
6073013301,133.01,Chula Vista,CV
6073013310,133.1,Chula Vista,CV
6073013414,134.14,Chula Vista,CV
6073013409,134.09,Chula Vista,CV
6073013401,134.01,Chula Vista,CV
6073013415,134.15,Chula Vista,CV
6073013311,133.11,Chula Vista,CV
6073013420,134.2,Chula Vista,CV
6073013421,134.21,Chula Vista,CV
6073013416,134.16,Chula Vista,CV
6073013418,134.18,Chula Vista,CV
6073013419,134.19,Chula Vista,CV
6073013417,134.17,Chula Vista,CV
6073013205,132.05,Chula Vista,CV
6073013206,132.06,Chula Vista,CV
6073013103,131.03,Chula Vista,CV
6073013104,131.04,Chula Vista,CV
6073012600,126,Chula Vista,CV
6073013000,130,Chula Vista,CV
6073012900,129,Chula Vista,CV
6073012501,125.01,Chula Vista,CV
6073012700,127,Chula Vista,CV
6073012800,128,Chula Vista,CV
6073012302,123.02,Chula Vista,CV
6073012502,125.02,Chula Vista,CV
6073012402,124.02,Chula Vista,CV
6073012304,123.04,Chula Vista,CV
6073012401,124.01,Chula Vista,CV
6073012303,123.03,Chula Vista,CV
6073010601,106.01,Coronado,CO
6073021600,216,Coronado,CO
6073010900,109,Coronado,CO
6073021800,218,Coronado,CO
6073010800,108,Coronado,CO
6073011000,110,Coronado,CO
6073011100,111,Coronado,CO
6073011300,113,Coronado,CO
6073009902,99.02,Coronado,CO
6073017200,172,Del Mar,DM
6073015302,153.02,El Cajon,EC
6073015902,159.02,El Cajon,EC
6073015301,153.01,El Cajon,EC
6073016000,160,El Cajon,EC
6073015901,159.01,El Cajon,EC
6073015704,157.04,El Cajon,EC
6073015703,157.03,El Cajon,EC
6073015802,158.02,El Cajon,EC
6073015601,156.01,El Cajon,EC
6073015801,158.01,El Cajon,EC
6073015701,157.01,El Cajon,EC
6073016100,161,El Cajon,EC
6073016301,163.01,El Cajon,EC
6073016302,163.02,El Cajon,EC
6073016504,165.04,El Cajon,EC
6073016201,162.01,El Cajon,EC
6073016401,164.01,El Cajon,EC
6073016202,162.02,El Cajon,EC
6073010200,102,Imperial Beach,IB
6073010402,104.02,Imperial Beach,IB
6073010300,103,Imperial Beach,IB
6073010401,104.01,Imperial Beach,IB
6073010501,105.01,Imperial Beach,IB
6073010502,105.02,Imperial Beach,IB
6073014500,145,La Mesa,LM
6073014602,146.02,La Mesa,LM
6073014601,146.01,La Mesa,LM
6073014700,147,La Mesa,LM
6073014901,149.01,La Mesa,LM
6073014902,149.02,La Mesa,LM
6073014806,148.06,La Mesa,LM
6073014805,148.05,La Mesa,LM
6073014803,148.03,La Mesa,LM
6073015000,150,La Mesa,LM
6073014804,148.04,La Mesa,LM
6073015100,151,La Mesa,LM
6073014101,141.01,Lemon Grove,LG
6073014200,142,Lemon Grove,LG
6073014001,140.01,Lemon Grove,LG
6073014300,143,Lemon Grove,LG
6073014400,144,Lemon Grove,LG
6073021900,219,National City,NC
6073011602,116.02,National City,NC
6073012101,121.01,National City,NC
6073011601,116.01,National City,NC
6073012102,121.02,National City,NC
6073011700,117,National City,NC
6073022000,220,National City,NC
6073012003,120.03,National City,NC
6073011801,118.01,National City,NC
6073012002,120.02,National City,NC
6073011802,118.02,National City,NC
6073011902,119.02,National City,NC
6073019808,198.08,Oceanside,OC
6073019809,198.09,Oceanside,OC
6073018100,181,Oceanside,OC
6073019805,198.05,Oceanside,OC
6073018504,185.04,Oceanside,OC
6073018517,185.17,Oceanside,OC
6073018200,182,Oceanside,OC
6073018518,185.18,Oceanside,OC
6073018515,185.15,Oceanside,OC
6073018519,185.19,Oceanside,OC
6073018400,184,Oceanside,OC
6073018509,185.09,Oceanside,OC
6073018516,185.16,Oceanside,OC
6073018511,185.11,Oceanside,OC
6073018300,183,Oceanside,OC
6073019403,194.03,Oceanside,OC
6073018603,186.03,Oceanside,OC
6073018513,185.13,Oceanside,OC
6073018510,185.1,Oceanside,OC
6073019302,193.02,Oceanside,OC
6073018512,185.12,Oceanside,OC
6073018601,186.01,Oceanside,OC
6073019301,193.01,Oceanside,OC
6073018614,186.14,Oceanside,OC
6073018514,185.14,Oceanside,OC
6073018613,186.13,Oceanside,OC
6073018507,185.07,Oceanside,OC
6073018609,186.09,Oceanside,OC
6073018608,186.08,Oceanside,OC
6073018612,186.12,Oceanside,OC
6073018610,186.1,Oceanside,OC
6073018611,186.11,Oceanside,OC
6073020025,200.25,San Marcos,SM
6073020023,200.23,San Marcos,SM
6073020024,200.24,San Marcos,SM
6073020022,200.22,San Marcos,SM
6073020027,200.27,San Marcos,SM
6073020026,200.26,San Marcos,SM
6073020019,200.19,San Marcos,SM
6073020029,200.29,San Marcos,SM
6073020028,200.28,San Marcos,SM
6073020018,200.18,San Marcos,SM
6073020021,200.21,San Marcos,SM
6073020020,200.2,San Marcos,SM
6073017304,173.04,Solana Beach,SO
6073017303,173.03,Solana Beach,SO
6073017305,173.05,Solana Beach,SO
6073016605,166.05,Santee,ST
6073016616,166.16,Santee,ST
6073016617,166.17,Santee,ST
6073016701,167.01,Santee,ST
6073016606,166.06,Santee,ST
6073016613,166.13,Santee,ST
6073016614,166.14,Santee,ST
6073016615,166.15,Santee,ST
6073016607,166.07,Santee,ST
6073016610,166.1,Santee,ST
6073016612,166.12,Santee,ST
6073016609,166.09,Santee,ST
6073020017,200.17,Vista,VS
6073019905,199.05,Vista,VS
6073019904,199.04,Vista,VS
6073019902,199.02,Vista,VS
6073019701,197.01,Vista,VS
6073019702,197.02,Vista,VS
6073019602,196.02,Vista,VS
6073019405,194.05,Vista,VS
6073019406,194.06,Vista,VS
6073019503,195.03,Vista,VS
6073019601,196.01,Vista,VS
6073019502,195.02,Vista,VS
6073019501,195.01,Vista,VS
6073019206,192.06,Vista,VS
6073019404,194.04,Vista,VS
6073019205,192.05,Vista,VS
6073017401,174.01,Encinitas,EN
6073017404,174.04,Encinitas,EN
6073017403,174.03,Encinitas,EN
6073017501,175.01,Encinitas,EN
6073017502,175.02,Encinitas,EN
6073017104,171.04,Encinitas,EN
6073017108,171.08,Encinitas,EN
6073017604,176.04,Encinitas,EN
6073017702,177.02,Encinitas,EN
6073017603,176.03,Encinitas,EN
6073017107,171.07,Encinitas,EN
6073017701,177.01,Encinitas,EN
6073017601,176.01,Encinitas,EN
6073009805,98.05,San Diego,SD
6073009505,95.05,San Diego,SD
6073009504,95.04,San Diego,SD
6073017019,170.19,San Diego,SD
6073020710,207.1,San Diego,SD
6073010009,100.09,San Diego,SD
6073010013,100.13,San Diego,SD
6073010015,100.15,San Diego,SD
6073010012,100.12,San Diego,SD
6073010005,100.05,San Diego,SD
6073010111,101.11,San Diego,SD
6073010004,100.04,San Diego,SD
6073010014,100.14,San Diego,SD
6073010010,100.1,San Diego,SD
6073010003,100.03,San Diego,SD
6073010011,100.11,San Diego,SD
6073010001,100.01,San Diego,SD
6073003212,32.12,San Diego,SD
6073003202,32.02,San Diego,SD
6073003211,32.11,San Diego,SD
6073003208,32.08,San Diego,SD
6073003209,32.09,San Diego,SD
6073003201,32.01,San Diego,SD
6073003213,32.13,San Diego,SD
6073003109,31.09,San Diego,SD
6073003115,31.15,San Diego,SD
6073003113,31.13,San Diego,SD
6073003114,31.14,San Diego,SD
6073003112,31.12,San Diego,SD
6073003107,31.07,San Diego,SD
6073003103,31.03,San Diego,SD
6073003105,31.05,San Diego,SD
6073003004,30.04,San Diego,SD
6073014102,141.02,San Diego,SD
6073003003,30.03,San Diego,SD
6073002703,27.03,San Diego,SD
6073002903,29.03,San Diego,SD
6073002902,29.02,San Diego,SD
6073002905,29.05,San Diego,SD
6073002904,29.04,San Diego,SD
6073009706,97.06,San Diego,SD
6073009802,98.02,San Diego,SD
6073009801,98.01,San Diego,SD
6073009704,97.04,San Diego,SD
6073009804,98.04,San Diego,SD
6073017022,170.22,San Diego,SD
6073008351,83.51,San Diego,SD
6073008358,83.58,San Diego,SD
6073008359,83.59,San Diego,SD
6073017047,170.47,San Diego,SD
6073008357,83.57,San Diego,SD
6073008349,83.49,San Diego,SD
6073017046,170.46,San Diego,SD
6073008356,83.56,San Diego,SD
6073008355,83.55,San Diego,SD
6073008347,83.47,San Diego,SD
6073017044,170.44,San Diego,SD
6073008352,83.52,San Diego,SD
6073017043,170.43,San Diego,SD
6073017045,170.45,San Diego,SD
6073008353,83.53,San Diego,SD
6073008354,83.54,San Diego,SD
6073017042,170.42,San Diego,SD
6073008365,83.65,San Diego,SD
6073017037,170.37,San Diego,SD
6073017039,170.39,San Diego,SD
6073008366,83.66,San Diego,SD
6073008337,83.37,San Diego,SD
6073017036,170.36,San Diego,SD
6073017018,170.18,San Diego,SD
6073008336,83.36,San Diego,SD
6073008335,83.35,San Diego,SD
6073017035,170.35,San Diego,SD
6073017055,170.55,San Diego,SD
6073017056,170.56,San Diego,SD
6073017033,170.33,San Diego,SD
6073017034,170.34,San Diego,SD
6073017052,170.52,San Diego,SD
6073017051,170.51,San Diego,SD
6073017014,170.14,San Diego,SD
6073017031,170.31,San Diego,SD
6073017015,170.15,San Diego,SD
6073010109,101.09,San Diego,SD
6073010104,101.04,San Diego,SD
6073010112,101.12,San Diego,SD
6073010110,101.1,San Diego,SD
6073010106,101.06,San Diego,SD
6073010107,101.07,San Diego,SD
6073010103,101.03,San Diego,SD
6073003800,38,San Diego,SD
6073003603,36.03,San Diego,SD
6073003601,36.01,San Diego,SD
6073003303,33.03,San Diego,SD
6073003602,36.02,San Diego,SD
6073005000,50,San Diego,SD
6073003902,39.02,San Diego,SD
6073003305,33.05,San Diego,SD
6073003502,35.02,San Diego,SD
6073003101,31.01,San Diego,SD
6073004900,49,San Diego,SD
6073003301,33.01,San Diego,SD
6073003901,39.01,San Diego,SD
6073005100,51,San Diego,SD
6073003111,31.11,San Diego,SD
6073003501,35.01,San Diego,SD
6073003304,33.04,San Diego,SD
6073004700,47,San Diego,SD
6073004800,48,San Diego,SD
6073004000,40,San Diego,SD
6073003403,34.03,San Diego,SD
6073003404,34.04,San Diego,SD
6073004100,41,San Diego,SD
6073004600,46,San Diego,SD
6073005200,52,San Diego,SD
6073005300,53,San Diego,SD
6073003001,30.01,San Diego,SD
6073004501,45.01,San Diego,SD
6073005500,55,San Diego,SD
6073004400,44,San Diego,SD
6073003401,34.01,San Diego,SD
6073005700,57,San Diego,SD
6073002502,25.02,San Diego,SD
6073004200,42,San Diego,SD
6073002712,27.12,San Diego,SD
6073005600,56,San Diego,SD
6073002705,27.05,San Diego,SD
6073004300,43,San Diego,SD
6073002602,26.02,San Diego,SD
6073002711,27.11,San Diego,SD
6073002501,25.01,San Diego,SD
6073001500,15,San Diego,SD
6073002710,27.1,San Diego,SD
6073002709,27.09,San Diego,SD
6073001400,14,San Diego,SD
6073000700,7,San Diego,SD
6073000800,8,San Diego,SD
6073000300,3,San Diego,SD
6073002601,26.01,San Diego,SD
6073002402,24.02,San Diego,SD
6073002401,24.01,San Diego,SD
6073001300,13,San Diego,SD
6073000900,9,San Diego,SD
6073001600,16,San Diego,SD
6073002202,22.02,San Diego,SD
6073002201,22.01,San Diego,SD
6073002302,23.02,San Diego,SD
6073002707,27.07,San Diego,SD
6073000600,6,San Diego,SD
6073002708,27.08,San Diego,SD
6073002702,27.02,San Diego,SD
6073002301,23.01,San Diego,SD
6073001200,12,San Diego,SD
6073001700,17,San Diego,SD
6073002100,21,San Diego,SD
6073001000,10,San Diego,SD
6073000500,5,San Diego,SD
6073001800,18,San Diego,SD
6073002803,28.03,San Diego,SD
6073002002,20.02,San Diego,SD
6073002804,28.04,San Diego,SD
6073001100,11,San Diego,SD
6073001900,19,San Diego,SD
6073002001,20.01,San Diego,SD
6073009304,93.04,San Diego,SD
6073002801,28.01,San Diego,SD
6073009705,97.05,San Diego,SD
6073009202,92.02,San Diego,SD
6073009604,96.04,San Diego,SD
6073009603,96.03,San Diego,SD
6073008702,87.02,San Diego,SD
6073009305,93.05,San Diego,SD
6073009703,97.03,San Diego,SD
6073009602,96.02,San Diego,SD
6073009306,93.06,San Diego,SD
6073009201,92.01,San Diego,SD
6073009301,93.01,San Diego,SD
6073009511,95.11,San Diego,SD
6073009509,95.09,San Diego,SD
6073009507,95.07,San Diego,SD
6073009510,95.1,San Diego,SD
6073009506,95.06,San Diego,SD
6073008511,85.11,San Diego,SD
6073009502,95.02,San Diego,SD
6073009400,94,San Diego,SD
6073008360,83.6,San Diego,SD
6073009901,99.01,San Diego,SD
6073005400,54,San Diego,SD
6073007100,71,San Diego,SD
6073007200,72,San Diego,SD
6073005800,58,San Diego,SD
6073005900,59,San Diego,SD
6073006200,62,San Diego,SD
6073021400,214,San Diego,SD
6073007002,70.02,San Diego,SD
6073007302,73.02,San Diego,SD
6073006000,60,San Diego,SD
6073006100,61,San Diego,SD
6073006300,63,San Diego,SD
6073007301,73.01,San Diego,SD
6073006900,69,San Diego,SD
6073007400,74,San Diego,SD
6073000202,2.02,San Diego,SD
6073006600,66,San Diego,SD
6073007502,75.02,San Diego,SD
6073006802,68.02,San Diego,SD
6073007501,75.01,San Diego,SD
6073006500,65,San Diego,SD
6073000100,1,San Diego,SD
6073000400,4,San Diego,SD
6073000201,2.01,San Diego,SD
6073006801,68.01,San Diego,SD
6073008902,89.02,San Diego,SD
6073009107,91.07,San Diego,SD
6073009106,91.06,San Diego,SD
6073008901,89.01,San Diego,SD
6073007600,76,San Diego,SD
6073009000,90,San Diego,SD
6073009104,91.04,San Diego,SD
6073008800,88,San Diego,SD
6073009103,91.03,San Diego,SD
6073007701,77.01,San Diego,SD
6073007702,77.02,San Diego,SD
6073008600,86,San Diego,SD
6073007910,79.1,San Diego,SD
6073007907,79.07,San Diego,SD
6073008701,87.01,San Diego,SD
6073007908,79.08,San Diego,SD
6073007905,79.05,San Diego,SD
6073009101,91.01,San Diego,SD
6073007903,79.03,San Diego,SD
6073008513,85.13,San Diego,SD
6073009102,91.02,San Diego,SD
6073007800,78,San Diego,SD
6073008003,80.03,San Diego,SD
6073008002,80.02,San Diego,SD
6073008510,85.1,San Diego,SD
6073008006,80.06,San Diego,SD
6073008512,85.12,San Diego,SD
6073008509,85.09,San Diego,SD
6073008301,83.01,San Diego,SD
6073008503,85.03,San Diego,SD
6073008102,81.02,San Diego,SD
6073008504,85.04,San Diego,SD
6073008310,83.1,San Diego,SD
6073008311,83.11,San Diego,SD
6073008507,85.07,San Diego,SD
6073008506,85.06,San Diego,SD
6073008501,85.01,San Diego,SD
6073008101,81.01,San Diego,SD
6073008502,85.02,San Diego,SD
6073008505,85.05,San Diego,SD
6073008303,83.03,San Diego,SD
6073008200,82,San Diego,SD
6073008306,83.06,San Diego,SD
6073008345,83.45,San Diego,SD
6073008307,83.07,San Diego,SD
6073008313,83.13,San Diego,SD
6073008344,83.44,San Diego,SD
6073008362,83.62,San Diego,SD
6073008364,83.64,San Diego,SD
6073008343,83.43,San Diego,SD
6073008363,83.63,San Diego,SD
6073008361,83.61,San Diego,SD
6073008340,83.4,San Diego,SD
6073008341,83.41,San Diego,SD
6073008305,83.05,San Diego,SD
6073008350,83.5,San Diego,SD
6073008339,83.39,San Diego,SD
6073008312,83.12,San Diego,SD
6073008346,83.46,San Diego,SD
6073008348,83.48,San Diego,SD
6073008333,83.33,San Diego,SD
6073008331,83.31,San Diego,SD
6073008329,83.29,San Diego,SD
6073021500,215,San Diego,SD
6073008330,83.3,San Diego,SD
6073008324,83.24,San Diego,SD
6073008328,83.28,San Diego,SD
6073008327,83.27,San Diego,SD
